Order Number,Product ID,Customer number,Date,Material Type,Reason for rejection,Order qty,Confirmed Qty,Canceled Qty,Order value $,Confirmed Value,Canceled Value,Class,Fill rate
43-475190,754474071330,50181935,"Thursday, November 16, 2023",Saleable Products,Automatic Closing,39,38,1,$700.09,$682.14,$17.95,Travel Retail,97%
43-320281,929319141080,59597086,"Wednesday, August 02, 2023",Saleable Products,Global Allocation,35,34,1,$1716.99,$1667.93,$49.06,Set,97%
43-815198,273665994394,38270233,"Tuesday, January 21, 2025",Saleable Products,OK,10,10,0,$909.23,$909.23,$0.0,C,100%
43-361650,517045625552,84252420,"Thursday, September 19, 2024",Saleable Products,No Inventory,27,0,27,$725.09,$0.0,$725.09,C,0%
43-799330,354342113419,71510041,"Saturday, August 31, 2024",Saleable Products,No Inventory,16,0,16,$1156.79,$0.0,$1156.79,Set,0%
43-207786,180092702123,27778019,"Friday, March 10, 2023",Saleable Products,Freshness,21,20,1,$1554.19,$1480.19,$74.0,Limited Edition,95%
43-470858,176040557040,99639081,"Thursday, March 02, 2023",Saleable Products,Freshness,12,9,3,$372.28,$279.21,$93.07,Travel Retail,75%
43-918011,648275934229,45431319,"Wednesday, February 12, 2025",Saleable Products,Automatic Closing,9,6,3,$94.99,$63.33,$31.66,Travel Retail,66%
43-687080,941629821539,37326368,"Sunday, February 25, 2024",Saleable Products,Global Allocation,16,13,3,$1116.84,$907.43,$209.41,Set,81%
43-526117,367469214295,11250299,"Wednesday, May 24, 2023",Saleable Products,Discontinued,9,0,9,$589.98,$0.0,$589.98,C,0%
43-750810,566854953850,45594597,"Sunday, May 28, 2023",Saleable Products,Automatic Closing,29,28,1,$1985.74,$1917.27,$68.47,Set,96%
43-885884,926939990836,71367643,"Tuesday, May 07, 2024",Saleable Products,Freshness,23,21,2,$553.84,$505.68,$48.16,Set,91%
43-262060,390355792387,82909480,"Wednesday, June 14, 2023",Saleable Products,Automatic Closing,39,37,2,$2509.11,$2380.44,$128.67,Set,94%
43-348237,369419548116,56020613,"Friday, February 21, 2025",Saleable Products,Global Allocation,43,42,1,$2526.28,$2467.53,$58.75,Limited Edition,97%
43-270395,984901132451,95125977,"Sunday, April 06, 2025",Saleable Products,No Inventory,49,0,49,$2485.77,$0.0,$2485.77,Limited Edition,0%
43-938742,941629821539,59597086,"Wednesday, September 06, 2023",Saleable Products,No Inventory,24,0,24,$1918.15,$0.0,$1918.15,C,0%
43-950155,277660601409,50603163,"Monday, February 05, 2024",Saleable Products,No Inventory,22,0,22,$988.83,$0.0,$988.83,Limited Edition,0%
43-285652,851347210313,48250360,"Sunday, March 16, 2025",Saleable Products,No Inventory,31,0,31,$1295.62,$0.0,$1295.62,Limited Edition,0%
43-532322,858663022120,45431319,"Tuesday, June 13, 2023",Saleable Products,Discontinued,10,0,10,$586.91,$0.0,$586.91,C,0%
43-125990,933251567391,80993218,"Wednesday, October 23, 2024",Saleable Products,OK,47,47,0,$4463.93,$4463.93,$0.0,Limited Edition,100%
43-288073,984901132451,50603163,"Tuesday, March 05, 2024",Saleable Products,Discontinued,42,0,42,$1721.29,$0.0,$1721.29,Travel Retail,0%
43-872343,942959595464,19233013,"Monday, February 05, 2024",Saleable Products,Automatic Closing,27,25,2,$1352.15,$1251.99,$100.16,Travel Retail,92%
43-448321,590573056992,92097999,"Wednesday, August 28, 2024",Saleable Products,Freshness,34,32,2,$1154.95,$1087.01,$67.94,C,94%
43-920391,894035742189,95125977,"Tuesday, July 18, 2023",Saleable Products,Global Allocation,48,47,1,$3415.93,$3344.76,$71.17,C,97%
43-531712,227649528249,50181935,"Tuesday, September 12, 2023",Saleable Products,Automatic Closing,39,36,3,$1667.94,$1539.64,$128.3,Limited Edition,92%
43-941204,590573056992,11049999,"Monday, December 25, 2023",Saleable Products,OK,24,24,0,$1736.22,$1736.22,$0.0,Travel Retail,100%
43-802448,933251567391,43704923,"Tuesday, March 14, 2023",Saleable Products,Global Allocation,21,19,2,$485.39,$439.16,$46.23,Set,90%
43-870763,235447068293,11049999,"Sunday, August 20, 2023",Saleable Products,Global Allocation,15,12,3,$506.08,$404.87,$101.21,Limited Edition,80%
43-950132,847373620112,68812137,"Tuesday, October 10, 2023",Saleable Products,Global Allocation,17,16,1,$485.65,$457.08,$28.57,Travel Retail,94%
43-360222,850726264460,11250299,"Wednesday, May 24, 2023",Saleable Products,Automatic Closing,45,42,3,$3598.48,$3358.58,$239.9,Set,93%
43-379766,790933616150,56020613,"Friday, February 16, 2024",Saleable Products,OK,19,19,0,$343.16,$343.16,$0.0,Limited Edition,100%
43-266931,643354278056,91178885,"Sunday, May 07, 2023",Saleable Products,Automatic Closing,25,23,2,$816.88,$751.53,$65.35,Limited Edition,92%
43-925622,336890980656,85563727,"Monday, January 13, 2025",Saleable Products,Global Allocation,40,37,3,$2226.61,$2059.61,$167.0,Limited Edition,92%
43-835343,539441524732,84252420,"Monday, January 27, 2025",Saleable Products,Global Allocation,22,19,3,$393.89,$340.18,$53.71,Travel Retail,86%
43-213346,214832269481,11049999,"Thursday, August 22, 2024",Saleable Products,Freshness,41,38,3,$450.79,$417.81,$32.98,Set,92%
43-501124,566854953850,45431319,"Tuesday, November 19, 2024",Saleable Products,Discontinued,49,0,49,$3537.94,$0.0,$3537.94,Travel Retail,0%
43-140605,798400899699,38609087,"Monday, June 05, 2023",Saleable Products,Automatic Closing,42,41,1,$2739.33,$2674.11,$65.22,Travel Retail,97%
43-593554,333279765207,92097999,"Sunday, July 30, 2023",Saleable Products,OK,14,14,0,$150.6,$150.6,$0.0,Travel Retail,100%
43-333238,700832336208,84252420,"Saturday, March 30, 2024",Saleable Products,Global Allocation,28,27,1,$402.31,$387.94,$14.37,Travel Retail,96%
43-309267,939668623711,56020613,"Friday, May 26, 2023",Saleable Products,Automatic Closing,12,11,1,$356.92,$327.18,$29.74,Set,91%
43-956253,517010168081,27778019,"Tuesday, November 19, 2024",Saleable Products,Discontinued,27,0,27,$2472.01,$0.0,$2472.01,C,0%
43-582662,481597082643,56020613,"Tuesday, October 10, 2023",Saleable Products,Automatic Closing,24,23,1,$1649.89,$1581.14,$68.75,Travel Retail,95%
43-466643,488136971784,47816686,"Monday, February 17, 2025",Saleable Products,Discontinued,22,0,22,$1813.9,$0.0,$1813.9,Set,0%
43-420015,267974663989,28024248,"Saturday, December 02, 2023",Saleable Products,Automatic Closing,39,36,3,$3055.77,$2820.71,$235.06,Set,92%
43-960394,422601660137,37326368,"Thursday, January 12, 2023",Saleable Products,Freshness,41,39,2,$4037.36,$3840.42,$196.94,Travel Retail,95%
43-933980,754648192232,77898694,"Monday, October 14, 2024",Saleable Products,Automatic Closing,50,47,3,$4775.71,$4489.16,$286.55,Set,94%
43-338651,926939990836,85563727,"Monday, May 01, 2023",Saleable Products,No Inventory,39,0,39,$626.24,$0.0,$626.24,Limited Edition,0%
43-333752,894035742189,77898694,"Monday, June 17, 2024",Saleable Products,Freshness,36,33,3,$433.51,$397.38,$36.13,Travel Retail,91%
43-124813,150711229823,25492573,"Wednesday, November 15, 2023",Saleable Products,Discontinued,23,0,23,$1258.93,$0.0,$1258.93,Set,0%
43-792094,869945806981,71510041,"Thursday, June 20, 2024",Saleable Products,Global Allocation,8,5,3,$275.64,$172.28,$103.36,Limited Edition,62%
43-302511,214832269481,84252420,"Sunday, April 16, 2023",Saleable Products,Global Allocation,28,26,2,$1551.51,$1440.69,$110.82,Limited Edition,92%
43-517821,709761138617,99038526,"Saturday, March 01, 2025",Saleable Products,Automatic Closing,50,48,2,$908.03,$871.71,$36.32,Limited Edition,96%
43-444207,917103043320,31172421,"Saturday, October 05, 2024",Saleable Products,OK,29,29,0,$2662.13,$2662.13,$0.0,Limited Edition,100%
43-392136,176040557040,56020613,"Wednesday, September 04, 2024",Saleable Products,Automatic Closing,15,13,2,$1195.03,$1035.7,$159.33,Set,86%
43-172792,256589576361,56020613,"Saturday, April 27, 2024",Saleable Products,Freshness,39,36,3,$2327.93,$2148.86,$179.07,Limited Edition,92%
